輯冊	法鼓全輯2020紀念版書名	#	相關書刊名	出版者	出版年	典藏地	索書號 / 條碼號
其他	禪的智慧	1	禪的智慧 : 與聖嚴法師心靈對話 / 聖嚴法師著 ; 單德興譯.	法鼓文化, (大字版初版)	2020	DILA典藏(總)	
其他	禪的智慧	2	禪的智慧 : 與聖嚴法師心靈對話 / 聖嚴法師著 ; 單德興譯.	法鼓文化, (修訂版)	2003	DILA典藏(總)	
其他	禪的智慧	3	禪的智慧 : 與聖嚴法師心靈對話 / 聖嚴法師著 ; 單德興譯.	法鼓文化, (初版.)	2003	DILA典藏(總)	B 630 1666-2
其他	禪的智慧	4	Zen wisdom : knowing and doing / Sheng-yen ; [editor, Christopher Marano ; translators, Pei-gwan	Dharma Drum Publications,	1993	DILA典藏(總)	
其他	禪無所求	1	禅无所求 : 圣严法师的〈心铭〉十二讲 / 圣严法师着 ; 单德兴译.	华夏, (第1版)	2009	DILA典藏(總)	
其他	禪無所求	2	禪無所求 : 聖嚴法師的〈心銘〉十二講 / 聖嚴法師著, 單德興譯.	法鼓文化, (初版)	2006	DILA典藏(總)	B 865.42 1666-1
其他	禪無所求	3	Song of Mind / 聖嚴法師著.	法鼓文化, (初版)	2005	DILA典藏(總)	
其他	開悟的詩偈	1	The Poetry of enlightenment : poems by ancient Ch’an masters / translated and edited by Master S	Dharma Drum Publications,	1987	DILA典藏(總)	
其他	寶鏡無境	1	寶鏡無境 : 石頭希遷〈參同契〉、洞山良价〈寶鏡三昧歌〉= The Infinite Mir	法鼓文化, (初版.)	2008	DILA典藏(總)	B 865.8 1666-4
其他	寶鏡無境	2	The Infinite mirror = 寶鏡無境 / Sheng-yen.	Dharma Drum,	1990	DILA典藏(總)	
其他	智慧之劍	1	智慧之劍 : 《永嘉證道歌》講錄 = The sword of wisdom / 聖嚴法師著 ; 莊國彬	法鼓文化, (初版.)	2008	DILA典藏(總)	
 B 865.42 1666
其他	智慧之劍	2	The Sword of wisdom : lectures on the song of enlightenment / Sheng yen.	Dharma Drum,	1990	DILA典藏(總)	
其他	用四安重建希望家園	1	用四安重建希望家園 / 聖嚴法師等著	法鼓山文化中心, 初版	2008	國圖典藏	225.87 8748:2-8
其他	如月印空	1	如月印空 : 聖嚴法師默照禪講錄 / 聖嚴法師著 ; 約翰.克魯克(John Crook)編	法鼓文化, (初版.)	2009	DILA典藏(總)	BT 866.3 1666-16
其他	如月印空	2	Illuminating silence : the practice of Chinese Zen / Chan Master Sheng-Yen, introductions and co	New Age,	2004	DILA典藏(總)	
其他	如月印空	3	Illuminating silence : the practice of Chinese Zen / Master Sheng-yen ; edited with preface, int	Watkins Pub.,	2002	DILA典藏(總)	
其他	心五四―觀念啟蒙篇	1	心五四. 觀念啟蒙篇 / 聖嚴法師著	法鼓山基金會, (修訂版 )	2002	台大典藏	208 4038-1 v.1438
其他	心五四―觀念啟蒙篇	1	心五四. 觀念啟蒙篇 / 聖嚴法師著	法鼓山佛教基金會, (初版 )	2001	台大典藏	208 4038 v.9504
其他	法鼓山的行動方針: 心五四運動	1	心五四運動 : 法鼓山的行動方針 / 聖嚴法師著	聖嚴教育基金會, (修訂版十刷)	2006	台大典藏	208 4038 v.21412
其他	法鼓山的行動方針: 心五四運動	2	心五四運動 : 法鼓山的行動方針 / 聖嚴法師著	法鼓山基金會, (修訂版)	2005	台大典藏	208 4038-1 v.1463
其他	法鼓山的行動方針: 心五四運動	3	心五四運動 : 法鼓山的行動方針 / 聖嚴法師著	法鼓山基金會, (修訂版)	2004	台大典藏	208 4038 v.9521
其他	無法之法	1	無法之法 : 聖嚴法師默照禪法旨要 / 聖嚴法師著 ; 單德興譯.	法鼓文化, (初版.)	2009	DILA典藏(總)	B 866.3 1666-17
其他	無法之法	1	The method of no-method : the Chan practice of silent illumination / ShengYen.	Shambhala,	2008	DILA典藏(總)	
其他	虛空粉碎	1	虛空粉碎 : 聖嚴法師話頭禪法旨要 / 聖嚴法師著 ; 單德興譯.	法鼓文化, (初版.)	2011	DILA典藏(總)	B 866.3 1666-1
其他	心在哪裡？	1	心在哪裡? : 聖嚴法師西方禪修指導(大字版) / 聖嚴法師著 ; 法鼓山國際編	法鼓文化, (大字版初版.)	2023	DILA典藏(總)	
其他	心在哪裡？	2	心在哪裡? : 聖嚴法師西方禪修指導 / 聖嚴法師著 ; 法鼓山國際編譯組譯.	法鼓文化, (初版.)	2011	DILA典藏(總)	B 632 1666
其他	禪在哪裡？	1	禪在哪裡? : 聖嚴法師西方禪修指導 / 聖嚴法師著 ; 法鼓山國際編譯組選	法鼓文化, (初版)	2013	DILA典藏(總)	B 632 1666.1
其他	法鼓山的方向	1	法鼓傳法音. (二) / 聖嚴法師講述	法鼓山文教基金會護法會, (再版)	1996	台大典藏	208 4038 v.9514 no.2
其他	法鼓山的方向	1	法鼓傳法音. (二) / 聖嚴法師講述	法鼓山文教基金會護法會, (再版)	1994	台大典藏	208 4038 v.9527 no.2
		1	禪門解行 / 聖嚴法師著, 林清玄編.	圓神,	1991	DILA典藏(總)	
